systype,sysid,description,default_string,translation,context
12,595,"RMM Integrations - Screen label for ""The subject of the email must contain the Device{} tag, where the @@@ Device ID is inside the brackets."" where @@@ is a third party application","The subject of the email must contain the Device{} tag, where the @@@ Device ID is inside the brackets.","The subject of the email must contain the Device{} tag, where the @@@ Device ID is inside the brackets.",
12,596,"RMM Integrations - Screen label for ""Configure Alert Types so that separate Requests can be raised against the same Asset, for the different types of Alerts that are received from @@@."" where @@@ is a third party application","Configure Alert Types so that separate $#Requests can be raised against the same $#Asset, for the different types of Alerts that are received from @@@.","Configure Alert Types so that separate $#Requests can be raised against the same $#Asset, for the different types of Alerts that are received from @@@.",
12,597,RMM Integrations - The Alert Type should be contained within the subject of the Alert.,The Alert Type should be contained within the subject of the Alert.,The Alert Type should be contained within the subject of the Alert.,
12,598,RMM Integrations - Alert Types,Alert Types,Alert Types,
12,599,Ninja RMM Integration - The display_name field must be mapped to a Halo Asset field that has already been created to complete this configuration.,The display_name field must be mapped to a Halo Asset field that has already been created to complete this configuration.,The display_name field must be mapped to a Halo Asset field that has already been created to complete this configuration.,
12,600,Ninja RMM Integration - display_name has not been mapped to an existing Asset field,display_name has not been mapped to an existing $#Asset field,display_name has not been mapped to an existing $#Asset field,
12,601,AD Configuration - The Halo Integrator can be used to import Users and Technicians from your Active Directory on a recurring schedule.,The Halo Integrator can be used to import $#Users and $#Technicians from your Active Directory on a recurring schedule.,The Halo Integrator can be used to import $#Users and $#Technicians from your Active Directory on a recurring schedule.,
12,602,AD Configuration - Enable this Active Directory connection for Halo Integrator,Enable this Active Directory connection for Halo Integrator,Enable this Active Directory connection for Halo Integrator,
12,603,Halo Integrator - Active Integrations,Active Integrations,Active Integrations,
12,604,Halo Integrator - The following integrations are currently enabled for the Halo Integrator,The following integrations are currently enabled for the Halo Integrator,The following integrations are currently enabled for the Halo Integrator,
12,605,AD Configuration - Server - The Halo Server can connect to the domain,Server - The Halo Server can connect to the domain,Server - The Halo Server can connect to the domain,
12,606,AD Configuration - Agent - The Halo Server cannot connect to the domain,Agent - The Halo Server cannot connect to the domain,Agent - The Halo Server cannot connect to the domain,
12,608,Zapier Integration - Your API and Authorisation URLs are required during the connection process. A tenant value is also required if you are a Cloud Customer.,Your API and Authorisation URLs are required during the connection process. A tenant value is also required if you are a Cloud Customer.,Your API and Authorisation URLs are required during the connection process. A tenant value is also required if you are a Cloud Customer.,
12,609,Zapier Integration - This module must be enabled for the account setup to be successful.,This module must be enabled for the account setup to be successful.,This module must be enabled for the account setup to be successful.,
12,610,Module - Intune,Intune,Intune,
12,611,Module - IT Glue,IT Glue,IT Glue,
12,612,IT Glue Integration - IT Glue Details,IT Glue Details,IT Glue Details,
12,613,Phrase - Client Type,$#Client Type,$#Client Type,
12,614,IT Glue Integration - Use the IT Glue Organization type,Use the IT Glue Organization type,Use the IT Glue Organization type,
12,615,IT Glue Integration - New types will be created automatically if one does not already exist with the same name,New types will be created automatically if one does not already exist with the same name,New types will be created automatically if one does not already exist with the same name,
12,616,IT Glue Integration - Organizations and Locations can be imported from IT Glue and created as Clients and Sites in Halo.,Organizations and Locations can be imported from IT Glue and created as $#Clients and $#Sites in Halo.,Organizations and Locations can be imported from IT Glue and created as $#Clients and $#Sites in Halo.,
12,617,"IT Glue Integration - IT Glue Locations can be mapped to existing Sites in Halo. When a mapped Location is imported, the Client/Site name will not be updated in Halo. Non mapped Organizations/Locations will match to an existing record via the name if the IT Glue ID is not matched.","IT Glue Locations can be mapped to existing $#Sites in Halo. When a mapped Location is imported, the $#Client/$#Site name will not be updated in Halo. Non mapped Organizations/Locations will match to an existing record via the name if the IT Glue ID is not matched.","IT Glue Locations can be mapped to existing $#Sites in Halo. When a mapped Location is imported, the $#Client/$#Site name will not be updated in Halo. Non mapped Organizations/Locations will match to an existing record via the name if the IT Glue ID is not matched.",
12,618,IT Glue Integration - IT Glue Organization,IT Glue Organization,IT Glue Organization,
12,619,IT Glue Integration - IT Glue Location,IT Glue Location,IT Glue Location,
12,620,IT Glue Integration - Active Statuses,Active Statuses,Active Statuses,
12,621,IT Glue Integration - Organizations with these statuses will be made active in NetHelpDesk when imported. All other imported Organizations will be made inactive.,Organizations with these statuses will be made active in NetHelpDesk when imported. All other imported Organizations will be made inactive.,Organizations with these statuses will be made active in NetHelpDesk when imported. All other imported Organizations will be made inactive.,
12,622,IT Glue Integration - Failed to retrieve Organization status/type,Failed to retrieve Organization status/type,Failed to retrieve Organization status/type,
12,623,IT Glue Integration - IT Glue Organization/Location,IT Glue Organization/Location,IT Glue Organization/Location,
12,624,IT Glue Integration - Flexible Assets can be imported from IT Glue into Halo. ,Flexible Assets can be imported from IT Glue into Halo. ,Flexible Assets can be imported from IT Glue into Halo. ,
12,625,"IT Glue Integration - To import Flexible Assets of a particular type, a mapping must be created between the IT Glue Flexible Asset Type and a Halo Asset Type. Field mappings can then be created between Halo Asset/Custom fields and fields that are associated with an IT Glue Flexible Asset Type.","To import Flexible Assets of a particular type, a mapping must be created between the IT Glue Flexible Asset Type and a Halo $#AssetType. Field mappings can then be created between Halo $#Asset/Custom fields and fields that are associated with an IT Glue Flexible Asset Type.","To import Flexible Assets of a particular type, a mapping must be created between the IT Glue Flexible Asset Type and a Halo $#AssetType. Field mappings can then be created between Halo $#Asset/Custom fields and fields that are associated with an IT Glue Flexible Asset Type.",
12,626,IT Glue Integration - IT Glue Flexible Asset Type,IT Glue Flexible Asset Type,IT Glue Flexible Asset Type,
12,627,IT Glue Integration - Asset Type/Field Mappings,$#AssetType/$#Field Mappings,$#AssetType/$#Field Mappings,
12,628,Azure Active Directory - Agent Role/CAB Mappings,$#Technician $#Role/CAB Mappings,$#Technician $#Role/CAB Mappings,
12,629,"Azure Active Directory - Azure Active Directory Groups can be mapped to Change Advise Boards. If an Azure User belongs to a mapped Group, then they will be added to the mapped Change Advise Board during the import. A Group can be mapped to multiple Change Advise Boards.","Azure Active Directory Groups can be mapped to Change Advise Boards. If an Azure $#User belongs to a mapped Group, then they will be added to the mapped Change Advise Board during the import. A Group can be mapped to multiple Change Advise Boards.","Azure Active Directory Groups can be mapped to Change Advise Boards. If an Azure $#User belongs to a mapped Group, then they will be added to the mapped Change Advise Board during the import. A Group can be mapped to multiple Change Advise Boards.",
12,630,Azure Active Directory - Change Advise Board Mappings,Change Advise Board Mappings,Change Advise Board Mappings,
12,631,Azure Active Directory - This functionality is for Agent imports only.,This functionality is for $#Technician imports only.,This functionality is for $#Technician imports only.,
12,632,Microsoft Teams Integration - Notifications can be sent to Channels in Microsoft Teams.,Notifications can be sent to Channels in Microsoft Teams.,Notifications can be sent to Channels in Microsoft Teams.,
12,633,"Microsoft Teams Integration - In Microsoft Teams, configure an Incoming Webhook connector for a Channel that you would like to send Notifications to.","In Microsoft Teams, configure an Incoming Webhook connector for a Channel that you would like to send Notifications to.","In Microsoft Teams, configure an Incoming Webhook connector for a Channel that you would like to send Notifications to.",
12,634,Phrase - View Request,View $#Request,View $#Request,
12,635,Microsoft Teams Integration - Microsoft Teams Webhook,Microsoft Teams Webhook,Microsoft Teams Webhook,
12,636,Microsoft Teams Integration - View Webhooks,View Webhooks,View Webhooks,
12,637,Microsoft Teams Integration - Create Webhook,Create Webhook,Create Webhook,
12,638,Microsoft Teams Integration - Customize your Notification Templates to edit the content of the Notification that gets posted to Microsoft Teams.,Customize your $#Notification Templates to edit the content of the $#Notification that gets posted to Microsoft Teams.,Customize your $#Notification Templates to edit the content of the $#Notification that gets posted to Microsoft Teams.,
12,639,Phrase - View Templates,View Templates,View Templates,
12,640,Microsoft Teams Integration - The Microsoft Teams module has not yet been enabled,The Microsoft Teams module has not yet been enabled,The Microsoft Teams module has not yet been enabled,
12,641,Webhooks - Standard Webhook,Standard Webhook,Standard Webhook,
12,642,Webhooks - Webhook Type,Webhook Type,Webhook Type,
12,643,"Microsoft Teams Integration - Then create an outgoing Webhook in NetHelpDesk, setting the target URL to the new connector URL.","Then create an outgoing Webhook in NetHelpDesk, setting the target URL to the new connector URL.","Then create an outgoing Webhook in NetHelpDesk, setting the target URL to the new connector URL.",
12,644,Azure DevOps Integration - The following data can also be passed back to NetHelpDesk whenever a Work Item is updated in Azure DevOps:,The following data can also be passed back to NetHelpDesk whenever a Work Item is updated in Azure DevOps:,The following data can also be passed back to NetHelpDesk whenever a Work Item is updated in Azure DevOps:,
12,645,"Azure DevOps Integration - The State, Priority, Comments, Assigned Agent and Target Date of a Work Item can also be passed back to NetHelpDesk, whenever a Work Item is updated. To configure this, you must subscribe to multiple ""Work item updated"" Webhooks for the following fields:","The State, Priority, Comments, Assigned Agent and Target Date of a Work Item can also be passed back to NetHelpDesk, whenever a Work Item is updated. To configure this, you must subscribe to multiple ""Work item updated"" Webhooks for the following fields:","The State, Priority, Comments, Assigned Agent and Target Date of a Work Item can also be passed back to NetHelpDesk, whenever a Work Item is updated. To configure this, you must subscribe to multiple ""Work item updated"" Webhooks for the following fields:",
12,646,Phrase - Data Type,Data Type,Data Type,
12,647,Word - Trigger,Trigger,Trigger,
12,648,"Azure DevOps Integration - To allow the state/status and priority to be updated in NetHelpDesk and/or Azure DevOps, states and priorities must be mapped from Azure DevOps to their corresponding values in NetHelpDesk.","To allow the state/status and priority to be updated in NetHelpDesk and/or Azure DevOps, states and priorities must be mapped from Azure DevOps to their corresponding values in NetHelpDesk.","To allow the state/status and priority to be updated in NetHelpDesk and/or Azure DevOps, states and priorities must be mapped from Azure DevOps to their corresponding values in NetHelpDesk.",
12,649,Azure DevOps Integration - Priority Mappings,Priority Mappings,Priority Mappings,
12,650,Azure DevOps Integration - NetHelpDesk Priority,NetHelpDesk Priority,NetHelpDesk Priority,
12,651,Azure DevOps Integration - Priority Mapping,Priority Mapping,Priority Mapping,
12,652,Azure DevOps Integration - NetHelpDesk Status,NetHelpDesk Status,NetHelpDesk Status,
12,653,Azure DevOps Integration - Status and Priority Mappings,Status and Priority Mappings,Status and Priority Mappings,
12,654,Azure DevOps Integration - Creating and Updating Work Items,Creating and Updating Work Items,Creating and Updating Work Items,
12,655,"Azure DevOps Integration - To create a Work Item in Azure DevOps, create an Action with the system use ""Create Bug / Issue / Work Item"" and make this available in your workflow. You can also push notes to Azure DevOps once the Work Item has been created, by adding the ""Send to Azure DevOps"" field to an Action.","To create a Work Item in Azure DevOps, create an $#Action with the system use ""Create Bug / Issue / Work Item"" and make this available in your workflow. You can also push notes to Azure DevOps once the Work Item has been created, by adding the ""Send to Azure DevOps"" field to an $#Action.","To create a Work Item in Azure DevOps, create an $#Action with the system use ""Create Bug / Issue / Work Item"" and make this available in your workflow. You can also push notes to Azure DevOps once the Work Item has been created, by adding the ""Send to Azure DevOps"" field to an $#Action.",
12,656,Azure DevOps Integration - Sync Status changes to Azure DevOps,Sync Status changes to Azure DevOps,Sync Status changes to Azure DevOps,
12,657,Azure DevOps Integration - Sync Priority changes to Azure DevOps,Sync Priority changes to Azure DevOps,Sync Priority changes to Azure DevOps,
12,658,Azure DevOps Integration - Sync Target Date changes to Azure DevOps,Sync Target Date changes to Azure DevOps,Sync Target Date changes to Azure DevOps,
12,659,"Azure DevOps Integration - Requests can be created in Halo Service Desk whenever a Work Item is created in Azure DevOps. To configure this, you must subscribe to a Webhook with the following details:","$#Requests can be created in Halo Service Desk whenever a Work Item is created in Azure DevOps. To configure this, you must subscribe to a Webhook with the following details:","$#Requests can be created in Halo Service Desk whenever a Work Item is created in Azure DevOps. To configure this, you must subscribe to a Webhook with the following details:",
12,660,Azure DevOps Integration - Work Items synced from Azure DevOps will be created in NetHelpDesk using this Request Type,Work items synced from Azure DevOps will be created in NetHelpDesk using this $#RequestType,Work items synced from Azure DevOps will be created in NetHelpDesk using this $#RequestType,
12,661,Azure DevOps Integration - Assigned To (Azure DevOps),Assigned To (Azure DevOps),Assigned To (Azure DevOps),
12,662,Azure DevOps Integration - Show Azure DevOps details when viewing a Request,Show Azure DevOps details when viewing a $#Request,Show Azure DevOps details when viewing a $#Request,
12,663,Azure DevOps Integration - Azure DevOps ID,Azure DevOps ID,Azure DevOps ID,
12,664,Azure DevOps Integration - Set the new Request's User equal to the person who created the Work Item,Set the new $#Request's $#User equal to the person who created the Work Item,Set the new $#Request's $#User equal to the person who created the Work Item,
12,665,"Azure DevOps Integration - New Requests will be assigned to this User if the above setting is not enabled, or a matching User record cannot be found","New $#Requests will be assigned to this $#User if the above setting is not enabled, or a matching $#User record cannot be found","New $#Requests will be assigned to this $#User if the above setting is not enabled, or a matching $#User record cannot be found",
12,666,Azure DevOps Integration - The URL and basic authentication details found above should be reused for these Webhooks.,The URL and basic authentication details found above should be reused for these Webhooks.,The URL and basic authentication details found above should be reused for these Webhooks.,
12,667,"Azure DevOps Integration - The status, priority and target date of a Work Item will be updated automatically in Azure DevOps if the following settings are enabled.","The status, priority and target date of a Work Item will be updated automatically in Azure DevOps if the following settings are enabled.","The status, priority and target date of a Work Item will be updated automatically in Azure DevOps if the following settings are enabled.",
12,668,Azure Active Directory - Imports are not available in edit mode.,Imports are not available in edit mode.,Imports are not available in edit mode.,
12,669,Azure Active Directory - Imports are not available until authorisation has been completed.,Imports are not available until authorisation has been completed.,Imports are not available until authorisation has been completed.,
12,670,Azure Active Directory - Halo Integrator configuration is unavailable until authorisation has been completed.,Halo Integrator configuration is unavailable until authorisation has been completed.,Halo Integrator configuration is unavailable until authorisation has been completed.,
12,671,Azure Active Directory - Authorisation is only available in edit mode.,Authorisation is only available in edit mode.,Authorisation is only available in edit mode.,
12,672,Module - Xero,Xero,Xero,
12,673,Xero Integration - Connect to Xero,Connect to Xero,Connect to Xero,
12,674,Xero Integration - Connect Now,Connect Now,Connect Now,
12,675,"Xero Integration - Click Connect Now to begin the authorization process. You will directed to Xero to login and authorize NetHelpDesk to read and write to your Xero account. Once completed, you will be redirected back to this page.","Click Connect Now to begin the authorization process. You will directed to Xero to login and authorize NetHelpDesk to read and write to your Xero account. Once completed, you will be redirected back to this page.","Click Connect Now to begin the authorization process. You will directed to Xero to login and authorize NetHelpDesk to read and write to your Xero account. Once completed, you will be redirected back to this page.",
12,676,Xero Integration - Authorization Code is invalid,Authorization Code is invalid,Authorization Code is invalid,
12,677,Xero Integration - You have successfully connected to your Xero account.,You have successfully connected to your Xero account.,You have successfully connected to your Xero account.,
12,678,Xero Integration - Disconnect from Xero,Disconnect from Xero,Disconnect from Xero,
12,679,Xero Integration - Reconnect to Xero,Reconnect to Xero,Reconnect to Xero,
12,680,"Xero Integration - To de-authorize NetHelpDesk from accessing your Xero company data, use the disconnect button below. If you would like to change which tenant NetHelpDesk has access to, you must first disconnect from the current tenant.","To de-authorize NetHelpDesk from accessing your Xero company data, use the disconnect button below. If you would like to change which tenant NetHelpDesk has access to, you must first disconnect from the current tenant.","To de-authorize NetHelpDesk from accessing your Xero company data, use the disconnect button below. If you would like to change which tenant NetHelpDesk has access to, you must first disconnect from the current tenant.",
12,681,Xero Integration - Tenant not found,Tenant not found,Tenant not found,
12,682,Xero Integration - Failed to disconnect,Failed to disconnect,Failed to disconnect,
12,683,Xero Integration - Xero Tax Rate,Xero Tax Rate,Xero Tax Rate,
12,684,"Xero Integration - Each tax rate in Xero should be mapped to a NetHelpDesk tax rate. Tax Rates can be imported from Xero, or they can be mapped manually on the tax rate edit screen in NetHelpDesk.","Each tax rate in Xero should be mapped to a NetHelpDesk tax rate. Tax Rates can be imported from Xero, or they can be mapped manually on the tax rate edit screen in NetHelpDesk.","Each tax rate in Xero should be mapped to a NetHelpDesk tax rate. Tax Rates can be imported from Xero, or they can be mapped manually on the tax rate edit screen in NetHelpDesk.",
12,685,"Xero Integration - You can import your existing Contacts from Xero into NetHelpDesk as Customers. When importing a contact for the first time, NetHelpDesk will check to see if a Customer already exists with the same name or account number. If found, the existing Customer record will be updated.","You can import your existing Contacts from Xero into NetHelpDesk as $#Clients. When importing a Contact for the first time, NetHelpDesk will check to see if a $#Client already exists with the same name or account number. If found, the existing $#Client record will be updated.","You can import your existing Contacts from Xero into NetHelpDesk as $#Clients. When importing a Contact for the first time, NetHelpDesk will check to see if a $#Client already exists with the same name or account number. If found, the existing $#Client record will be updated.",
12,686,Word - Contacts,Contacts,Contacts,
12,687,"Xero Integration - If the Customer record already exists in Halo, and a Site has been allocated as the Main Site, then the Main Site's addresses will be updated to the Contact's addresses from Xero. If no Main Site has been allocated, then a new site will be created.","If the $#Client record already exists in Halo, and a $#Site has been allocated as the Main $#Site, then the Main $#Site's addresses will be updated to the Contact's addresses from Xero. If no Main $#Site has been allocated, then a new $#Site will be created.","If the $#Client record already exists in Halo, and a $#Site has been allocated as the Main $#Site, then the Main $#Site's addresses will be updated to the Contact's addresses from Xero. If no Main $#Site has been allocated, then a new $#Site will be created.",
12,688,"Xero Integration - You can import your existing Items from Xero into NetHelpDesk. When importing an Item for the first time, NetHelpDesk will check to see if an Item already exists with the same name or sales accounts code. If found, the existing Item record will be updated.","You can import your existing Items from Xero into NetHelpDesk. When importing an Item for the first time, NetHelpDesk will check to see if an Item already exists with the same name or sales accounts code. If found, the existing Item record will be updated.","You can import your existing Items from Xero into NetHelpDesk. When importing an Item for the first time, NetHelpDesk will check to see if an Item already exists with the same name or sales accounts code. If found, the existing Item record will be updated.",
12,689,"Xero Integration - Tax rates should be mapped before proceeding with Customer and Item imports, so that Customers and Items can be assigned the correct default tax rate whenever they are created or updated.","Tax rates should be mapped before proceeding with $#Client and $#Item imports, so that $#Clients and $#Items can be assigned the correct default tax rate whenever they are created or updated.","Tax rates should be mapped before proceeding with $#Client and $#Item imports, so that $#Clients and $#Items can be assigned the correct default tax rate whenever they are created or updated.",
12,690,Xero Integration - Syncing to Xero,Syncing to Xero,Syncing to Xero,
12,691,"Xero Integration - When a Customer, Item or Invoice is created in NetHelpDesk, it can be automatically created in Xero. Additionally, any changes made to a Customer, Item or Invoice in NetHelpDesk can also be automatically synced to Xero.","When a $#Client, $#Item or Invoice is created in NetHelpDesk, it can be automatically created in Xero. Additionally, any changes made to a $#Client, $#Item or Invoice in NetHelpDesk can also be automatically synced to Xero.","When a $#Client, $#Item or Invoice is created in NetHelpDesk, it can be automatically created in Xero. Additionally, any changes made to a $#Client, $#Item or Invoice in NetHelpDesk can also be automatically synced to Xero.",
12,692,Xero Integration - Enable Syncing to Xero,Enable Syncing to Xero,Enable Syncing to Xero,
12,693,Xero Integration - Edit Tax Rates,Edit Tax Rates,Edit Tax Rates,
12,694,Xero Integration - Tax Rate Import Failed,Tax Rate Import Failed,Tax Rate Import Failed,
12,695,Xero Integration - Tax Rates Imported,Tax Rates Imported,Tax Rates Imported,
12,696,"Xero Integration - When importing a tax rate for the first time, NetHelpDesk will check to see if a tax rate already exists with the same name or Xero code. If found, the existing tax rate will be updated.","When importing a tax rate for the first time, NetHelpDesk will check to see if a tax rate already exists with the same name or Xero code. If found, the existing tax rate will be updated.","When importing a tax rate for the first time, NetHelpDesk will check to see if a tax rate already exists with the same name or Xero code. If found, the existing tax rate will be updated.",
12,697,Client Details - Accounts First Name,Accounts First Name,Accounts First Name,
12,698,Client Details - Accounts Last Name,Accounts Last Name,Accounts Last Name,
12,699,Client Details - Sales Tax Rate,Sales Tax Rate,Sales Tax Rate,
12,700,Client Details - Purchases Tax Rate,Purchases Tax Rate,Purchases Tax Rate,
12,701,Client Details - Account Number,Account Number,Account Number,
12,702,Invoice Details - Xero Invoice Number,Xero Invoice Number,Xero Invoice Number,
12,703,Xero Integration - Item Group,$#Item Group,$#Item Group,
12,704,Xero Integration - Default Xero Item Code,Default Xero Item Code,Default Xero Item Code,
12,705,Xero Integration - This Item code will be used if an Invoice line contains an item that does not have a Xero code associated with it.,This Item code will be used if an Invoice line contains an item that does not have a Xero code associated with it.,This Item code will be used if an Invoice line contains an item that does not have a Xero code associated with it.,
12,706,Item Details - Accounts Code (Sales),Accounts Code (Sales),Accounts Code (Sales),
12,707,Item Details - Accounts Code (Purchases),Accounts Code (Purchases),Accounts Code (Purchases),
12,708,"Xero Integration - Making a Customer inactive in Halo will archive them in Xero. Deleting a Customer, Item or Invoice will not remove the record from Xero.","Making a Customer inactive in Halo will archive them in Xero. Deleting a $#Client, $#Item or Invoice will not delete the record from Xero.","Making a Customer inactive in Halo will archive them in Xero. Deleting a $#Client, $#Item or Invoice will not delete the record from Xero.",
12,709,Item Details - Sales Description,Sales Description,Sales Description,
12,710,Item Details - Purchase Description,Purchase Description,Purchase Description,
12,711,Invoice Details - Due Date,Due Date,Due Date,
12,712,Xero Integration - does not have a valid Xero ID. Not Synced.,does not have a valid Xero ID. Not Synced.,does not have a valid Xero ID. Not Synced.,
12,714,SolarWinds N-Central Integration - N-Central Url is required,N-Central Url is required,N-Central Url is required,
12,715,"SolarWinds N-Central Integration - Screen label for ""Match existing records on Client or Site name if the @@@ ID is not matched"" where @@@ is the name of the third party application name ",Match existing records on $#Client or $#Site name if the @@@ ID is not matched,Match existing records on $#Client or $#Site name if the @@@ ID is not matched,
12,716,"SolarWinds N-Central Integration - Screen label for ""By default, the @@@ ID will always be checked first."" where @@@ is the name of the third party application name","By default, the @@@ ID will always be checked first.","By default, the @@@ ID will always be checked first.",
12,717,"SolarWinds N-Central Integration - Screen label for ""Create Field mappings between @@@ Fields and NetHelpDesk Asset and Custom Fields."" where @@@ is the name of the third party application name",Create $#field mappings between @@@ $#fields and NetHelpDesk $#Asset and Custom $#fields.,Create $#field mappings between @@@ $#fields and NetHelpDesk $#Asset and Custom $#fields.,
12,718,SolarWinds N-Central Integration - N-Central Device Classes are matched to existing Asset Types via their name.,N-Central Device Classes are matched to existing NetHelpDesk $#AssetTypes via their name.,N-Central Device Classes are matched to existing NetHelpDesk $#AssetTypes via their name.,
12,719,SolarWinds N-Central Integration - Enable the N-Central Integration for Halo Integrator,Enable the N-Central Integration for Halo Integrator,Enable the N-Central Integration for Halo Integrator,
12,720,SolarWinds N-Central Integration - N-Central alerts can be turned into Tickets in NetHelpDesk through the NetHelpDesk API.,N-Central alerts can be turned into $#Requests in NetHelpDesk through the NetHelpDesk API.,N-Central alerts can be turned into $#Requests in NetHelpDesk through the NetHelpDesk API or via email.,
12,721,SolarWinds N-Central Integration - A Custom PSA Integration must be configured in N-Central by navigating to Administration > PSA Integration > Configure PSA Integration. The PSA Integration should be configured with the following details:,A Custom PSA Integration must be configured in N-Central by navigating to Administration > PSA Integration > Configure PSA Integration. The PSA Integration should be configured with the following details:,A Custom PSA Integration must be configured in N-Central by navigating to Administration > PSA Integration > Configure PSA Integration. The PSA Integration should be configured with the following details:,
12,722,SolarWinds N-Central Integration - PSA Solution,PSA Solution,PSA Solution,
12,723,SolarWinds N-Central Integration - Delivery Mechanism,Delivery Mechanism,Delivery Mechanism,
12,724,SolarWinds N-Central Integration - Base Endpoint Url,Base Endpoint Url,Base Endpoint Url,
12,725,SolarWinds N-Central Integration - Ticketing Endpoint,Ticketing Endpoint,Ticketing Endpoint,
12,726,"SolarWinds N-Central Integration - When a Ticket that was created by an Alert is closed/re-opened in NetHelpDesk, it can also be closed/re-opened in N-Central. API credentials for communicating with the N-Central Ticketing API are required for this feature, which can be found on the PSA Integration setup screen in N-Central.","When a $#Request that was created by an Alert is closed/re-opened in NetHelpDesk, it can also be closed/re-opened in N-Central. API credentials for communicating with the N-Central Ticketing API are required for this feature, which can be found on the PSA Integration setup screen in N-Central.","When a $#Request that was created by an Alert is closed/re-opened in NetHelpDesk, it can also be closed/re-opened in N-Central. API credentials for communicating with the N-Central Ticketing API are required for this feature, which can be found on the PSA Integration setup screen in N-Central.",
12,727,SolarWinds N-Central Integration - The password for this application will only be shown once. Generating a new password will stop the old one from working.,The password for this application will only be shown once. Generating a new password will stop the old one from working.,The password for this application will only be shown once. Generating a new password will stop the old one from working.,
12,728,SolarWinds N-Central Integration - Requests will be raised from N-Central alerts using this Request Type,$#Requests will be raised from N-Central alerts using this $#RequestType,$#Requests will be raised from N-Central alerts using this $#RequestType,
12,729,SolarWinds N-Central Integration - Requests raised from N-Central alerts will be assigned to this User,$#Requests raised from N-Central alerts will be assigned to this $#User,$#Requests raised from N-Central alerts will be assigned to this $#User,
12,730,SolarWinds N-Central Integration - Failed to resolve N-Central Ticket,Failed to resolve N-Central $#Request,Failed to resolve N-Central $#Request,
12,731,SolarWinds N-Central Integration - Failed to re-open N-Central Ticket,Failed to re-open N-Central $#Request,Failed to re-open N-Central $#Request,
12,732,SolarWinds N-Central Integration - Delivery Method,Delivery Method,Delivery Method,
12,733,"SolarWinds N-Central Integration - This is the legacy method for handling alerts. Whilst alert handling can still be configured using email rules, it is recommended that you switch over to the API method when possible.","This is the legacy method for handling alerts. Whilst alert handling can still be configured using email rules, it is recommended that you switch over to the API method when possible.","This is the legacy method for handling alerts. Whilst alert handling can still be configured using email rules, it is recommended that you switch over to the API method when possible.",
12,734,SolarWinds N-Central Integration - You must be running NHServer version 13.10 or above to use this functionality and your PSA integration message template must contain the text Device: {{DeviceName}} on its own line for a Device to be linked to Tickets successfully.,You must be running NHServer version 13.10 or above to use this functionality and your PSA integration message template must contain the text Device: {{DeviceName}} on its own line for a Device to be linked to $#Requests successfully.,You must be running NHServer version 13.10 or above to use this functionality and your PSA integration message template must contain the text Device: {{DeviceName}} on its own line for a Device to be linked to $#Requests successfully.,
12,735,SolarWinds N-Central Integration - Open in N-Central,Open in N-Central,Open in N-Central,
12,737,Business Central Integration - Azure Application ID,Azure Application ID,Azure Application ID,
12,738,Business Central Integration - Azure Application Secret,Azure Application Secret,Azure Application Secret,
12,740,Business Central Integration - Authorize Application,Authorize Application,Authorize Application,
12,741,Business Central Integration - You have successfully connected to your Azure application.,You have successfully connected to your Azure application.,You have successfully connected to your Azure application.,
12,742,Business Central Integration - Disconnect from Application,Disconnect from Application,Disconnect from Application,
12,743,SCCM Integration - Do not update an Asset's Site if the Asset already exists (overrides the above setting),Do not update an $#Asset's $#Site if the Asset already exists (overrides the above setting),Do not update an $#Asset's $#Site if the Asset already exists (overrides the above setting),
12,744,SCCM Integration - Do not remove existing Users from an Asset if a valid User is not found,Do not remove existing $#Users from an $#Asset if a valid $#User is not found,Do not remove existing $#Users from an $#Asset if a valid $#User is not found,
12,745,Business Central Integration - Azure Application,Azure Application,Azure Application,
12,746,Business Central Integration - Web Service Configuration,Web Service Configuration,Web Service Configuration,
12,748,Business Central Integration - OData V4 URL,OData V4 URL,OData V4 URL,
12,749,Business Central Integration - Fixed Asset Configuration,Fixed Asset Configuration,Fixed Asset Configuration,
12,750,Business Central Integration - Asset Type for Fixed Assets,$#AssetType for Fixed Assets,$#AssetType for Fixed Assets,
12,753,Business Central Integration - Importing Fixed Assets,Importing Fixed Assets,Importing Fixed Assets,
12,754,Business Central Integration - Fixed Assets,Fixed Assets,Fixed Assets,
12,756,Business Central Integration - Choose an Asset Type for Fixed Assets,Choose an $#AssetType for Fixed Assets,Choose an $#AssetType for Fixed Assets,
12,757,Business Central Integration - Site for Imported Assets,$#Site for Imported $#Assets,$#Site for Imported $#Assets,
12,758,Business Central Integration - Choose a Site for Fixed Assets,Choose a $#Site for Fixed Assets,Choose a $#Site for Fixed Assets,
12,759,Business Central Integration - Fixed Asset Creation,Fixed Asset Creation,Fixed Asset Creation,
12,762,Business Central Integration - Creating Fixed Asset,Creating Fixed Asset,Creating Fixed Asset,
12,764,Business Central Integration - Creating Fixed Assets,Creating Fixed Assets,Creating Fixed Assets,
12,765,Azure Active Directory - Enable licence management,Enable licence management,Enable licence management,
